Country,ISO 3166-1 alpha-3,UN M49,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,,,
China,CHN,156,1907,19.893871,19.893871,0,0,0,0,0,0.048403,,,
China,CHN,156,1908,22.735853,22.735853,0,0,0,0,0,0.055021,,,
China,CHN,156,1909,24.251576,24.251576,0,0,0,0,0,0.05831,,,
China,CHN,156,1910,25.009438,25.009438,0,0,0,0,0,0.05968,,,
China,CHN,156,1911,24.630507,24.630507,0,0,0,0,0,0.058271,,,
China,CHN,156,1912,17.029154,17.029154,0,0,0,0,0,0.039899,,,
China,CHN,156,1913,24.251576,24.251576,0,0,0,0,0,0.056213,,,
China,CHN,156,1914,26.718416,26.718416,0,0,0,0,0,0.061269,,,
China,CHN,156,1915,25.420578,25.420578,0,0,0,0,0,0.05767,,,
China,CHN,156,1916,30.130689,30.130689,0,0,0,0,0,0.067625,,,
China,CHN,156,1917,32.023449,32.023449,0,0,0,0,0,0.071104,,,
China,CHN,156,1918,34.747962,34.747962,0,0,0,0,0,0.076313,,,
China,CHN,156,1919,37.997294,37.997294,0,0,0,0,0,0.082664,,,
China,CHN,156,1920,40.278458,40.278458,0,0,0,0,0,0.086932,,,
China,CHN,156,1921,38.762734,38.762734,0,0,0,0,0,0.083121,,,
China,CHN,156,1922,39.971524,39.971524,0,0,0,0,0,0.085285,,,
China,CHN,156,1923,46.517555,46.517555,0,0,0,0,0,0.098901,,,
China,CHN,156,1924,48.846085,48.846085,0,0,0,0,0,0.103485,,,
China,CHN,156,1925,45.954842,45.954842,0,0,0,0,0,0.097016,,,
China,CHN,156,1926,43.660165,43.652837,0.007328,0,0,0,0,0.091846,,,
China,CHN,156,1927,45.808577,45.797586,0.010991,0,0,0,0,0.096025,,,
China,CHN,156,1928,47.591441,47.540668,0.010991,0,0.039782,0,0,0.09941,,,
China,CHN,156,1929,48.281827,48.194324,0.010992,0,0.076511,0,0,0.100448,,,
China,CHN,156,1930,49.558455,49.331117,0.153888,0,0.073451,0,0,0.102641,,,
China,CHN,156,1931,51.904658,51.619859,0.186864,0,0.097934,0,0,0.106968,,,
China,CHN,156,1932,50.269152,49.973404,0.216176,0,0.079572,0,0,0.103035,,,
China,CHN,156,1933,54.11118,53.730504,0.267449,0,0.113227,0,0,0.110257,,,
China,CHN,156,1934,62.382628,62.002565,0.282128,0,0.097934,0,0,0.126361,,,
China,CHN,156,1935,72.645968,72.057496,0.432379,0,0.156093,0,0,0.146284,,,
China,CHN,156,1936,75.477252,74.539493,0.509296,0,0.428463,0,0,0.151089,,,
China,CHN,156,1937,70.968653,69.937378,0.593604,0,0.437671,0,0,0.141227,,,
China,CHN,156,1938,61.365519,60.520945,0.835392,0,0.009181,0,0,0.121397,,,
China,CHN,156,1939,74.426991,73.02377,1.179808,0,0.223413,0,0,0.146388,,,
China,CHN,156,1940,90.790528,88.722876,1.795284,0,0.272368,0,0,0.177567,,,
China,CHN,156,1941,113.978569,111.449256,2.03352,0,0.495793,0,0,0.22169,,,
China,CHN,156,1942,127.613381,124.452269,2.506176,0,0.654936,0,0,0.246875,,,
China,CHN,156,1943,108.994548,107.402274,0.95264,0,0.639634,0,0,0.209749,,,
