Year,Total
1907,19.893871
1908,22.735853
1909,24.251576
1910,25.009438
1911,24.630507
1912,17.029154
1913,24.251576
1914,26.718416
1915,25.420578
1916,30.130689
1917,32.023449
1918,34.747962
1919,37.997294
1920,40.278458
1921,38.762734
1922,39.971524
1923,46.517555
1924,48.846085
1925,45.954842
1926,43.660165
1927,45.808577
1928,47.591441
1929,48.281827
1930,49.558455
1931,51.904658
1932,50.269152
1933,54.11118
1934,62.382628
1935,72.645968
1936,75.477252
1937,70.968653
1938,61.365519
1939,74.426991
1940,90.790528
1941,113.978569
1942,127.613381
1943,108.994548
1944,103.003568
1945,55.892207
1946,36.107047
1947,41.836135
1948,38.400105
1949,62.081099
1950,78.835287
1951,102.115213
1952,127.999326
1953,133.782883
1954,160.87741
1955,190.521461
1956,215.823984
1957,255.784962
1958,524.617059
1959,720.151557
1960,798.799921
1961,570.630187
1962,459.618074
1963,456.779449
1964,460.637094
1965,500.286364
1966,549.459318
1967,460.225895
1968,495.506566
1969,607.683366
1970,807.952627
1971,909.2097
1972,968.645596
1973,1008.292576
1974,1028.099867
1975,1183.214956
1976,1226.421277
1977,1340.831115
1978,1492.777845
1979,1525.661148
1980,1494.495884
1981,1476.487854
1982,1606.585013
1983,1694.216811
1984,1844.828012
1985,1998.082904
1986,2104.213354
1987,2257.738539
1988,2425.893553
1989,2463.654367
1990,2484.85482
1991,2606.096182
1992,2730.787587
1993,2921.650956
1994,3103.738693
1995,3361.637235
1996,3508.818147
1997,3515.594229
1998,3364.587594
1999,3557.274601
2000,3649.226559
2001,3728.509817
2002,4103.046354
2003,4841.11869
2004,5217.350873
2005,5882.106219
2006,6494.330723
2007,6983.547409
2008,7501.497554
2009,7891.078305
2010,8620.575738
2011,9532.33211
2012,9779.292069
2013,9956.32887
2014,9990.257301
2015,9863.456796
2016,9762.713692
2017,10006.34297
2018,10332.99239
2019,10713.98482
2020,10905.69296
2021,11447.91286
2022,11350.53767
2023,11902.50316
