Country,ISO3166_1Alpha_3,UNM49,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,PerCapita,Population
France,FRA,250,1810,2.121456,2.121456,NaN,NaN,NaN,NaN,NaN,0.070452,30100000
France,FRA,250,1811,2.05184,2.05184,NaN,NaN,NaN,NaN,NaN,0.067886,30200000
France,FRA,250,1812,2.21672,2.21672,NaN,NaN,NaN,NaN,NaN,0.073067,30300000
France,FRA,250,1813,2.048176,2.048176,NaN,NaN,NaN,NaN,NaN,0.06726,30400000
France,FRA,250,1814,2.092144,2.092144,NaN,NaN,NaN,NaN,NaN,0.068448,30600000
France,FRA,250,1815,2.341296,2.341296,NaN,NaN,NaN,NaN,NaN,0.076314,30700000
France,FRA,250,1816,2.498848,2.498848,NaN,NaN,NaN,NaN,NaN,0.081145,30800000
France,FRA,250,1817,2.660064,2.660064,NaN,NaN,NaN,NaN,NaN,0.086059,30900000
France,FRA,250,1818,2.3816,2.3816,NaN,NaN,NaN,NaN,NaN,0.076762,31000000
France,FRA,250,1819,2.557472,2.557472,NaN,NaN,NaN,NaN,NaN,0.08208,31200000
France,FRA,250,1820,2.901888,2.901888,NaN,NaN,NaN,NaN,NaN,0.092689,31250000
France,FRA,250,1821,3.011808,3.011808,NaN,NaN,NaN,NaN,NaN,0.09569,31460000
France,FRA,250,1822,3.16936,3.16936,NaN,NaN,NaN,NaN,NaN,0.10011,31685000
France,FRA,250,1823,3.16936,3.16936,NaN,NaN,NaN,NaN,NaN,0.099475,31905000
France,FRA,250,1824,3.51744,3.51744,NaN,NaN,NaN,NaN,NaN,0.109701,32127000
France,FRA,250,1825,3.95712,3.95712,NaN,NaN,NaN,NaN,NaN,0.122632,32350000
France,FRA,250,1826,4.089024,4.089024,NaN,NaN,NaN,NaN,NaN,0.125917,32538000
France,FRA,250,1827,5.910032,5.910032,NaN,NaN,NaN,NaN,NaN,0.18084,32727000
France,FRA,250,1828,6.243456,6.243456,NaN,NaN,NaN,NaN,NaN,0.189832,32917000
France,FRA,250,1829,6.074912,6.074912,NaN,NaN,NaN,NaN,NaN,0.183599,33108000
France,FRA,250,1830,6.551232,6.551232,NaN,NaN,NaN,NaN,NaN,0.196872,33300000
France,FRA,250,1831,6.052928,6.052928,NaN,NaN,NaN,NaN,NaN,0.180926,33439000
France,FRA,250,1832,6.679472,6.679472,NaN,NaN,NaN,NaN,NaN,0.198653,33598000
France,FRA,250,1833,7.247392,7.247392,NaN,NaN,NaN,NaN,NaN,0.214534,33718000
France,FRA,250,1834,8.92184,8.92184,NaN,NaN,NaN,NaN,NaN,0.262863,33859000
France,FRA,250,1835,9.258928,9.258928,NaN,NaN,NaN,NaN,NaN,0.271517,34000000
France,FRA,250,1836,10.636592,10.636592,NaN,NaN,NaN,NaN,NaN,0.310456,34178000
France,FRA,250,1837,11.351072,11.351072,NaN,NaN,NaN,NaN,NaN,0.329758,34357000
France,FRA,250,1838,11.867696,11.867696,NaN,NaN,NaN,NaN,NaN,0.343152,34537000
France,FRA,250,1839,11.570912,11.570912,NaN,NaN,NaN,NaN,NaN,0.333045,34718000
France,FRA,250,1840,11.79808,11.79808,NaN,NaN,NaN,NaN,NaN,0.338078,34900000
France,FRA,250,1841,13.820608,13.820608,NaN,NaN,NaN,NaN,NaN,0.394326,35059000
France,FRA,250,1842,14.52776,14.52776,NaN,NaN,NaN,NaN,NaN,0.412767,35218000
France,FRA,250,1843,14.549744,14.549744,NaN,NaN,NaN,NaN,NaN,0.411711,35378000
France,FRA,250,1844,15.26056,15.26056,NaN,NaN,NaN,NaN,NaN,0.43007,35539000
France,FRA,250,1845,17.836352,17.836352,NaN,NaN,NaN,NaN,NaN,0.500617,35700000
France,FRA,250,1846,18.528848,18.528848,NaN,NaN,NaN,NaN,NaN,0.51794,35829000
France,FRA,250,1847,20.840832,20.840832,NaN,NaN,NaN,NaN,NaN,0.580199,35959000
France,FRA,250,1848,16.68952,16.68952,NaN,NaN,NaN,NaN,NaN,0.46274,36089000
France,FRA,250,1849,17.38568,17.38568,NaN,NaN,NaN,NaN,NaN,0.480226,36219000
France,FRA,250,1850,19.617056,19.617056,NaN,NaN,NaN,NaN,NaN,0.539982,36350000
France,FRA,250,1851,20.038416,20.038416,NaN,NaN,NaN,NaN,NaN,0.549989,36479000
France,FRA,250,1852,21.569968,21.569968,NaN,NaN,NaN,NaN,NaN,0.590491,36609000
France,FRA,250,1853,25.340224,25.340224,NaN,NaN,NaN,NaN,NaN,0.692113,36739000
France,FRA,250,1854,29.213072,29.213072,NaN,NaN,NaN,NaN,NaN,0.796061,36869000
France,FRA,250,1855,33.071264,33.034624,0.03664,NaN,NaN,NaN,NaN,0.89913,37000000
France,FRA,250,1856,34.632128,34.591824,0.040304,NaN,NaN,NaN,NaN,0.939406,37060000
France,FRA,250,1857,35.280656,35.236688,0.043968,NaN,NaN,NaN,NaN,0.954802,37120000
France,FRA,250,1858,34.595488,34.547856,0.047632,NaN,NaN,NaN,NaN,0.934111,37180000
France,FRA,250,1859,34.9912,34.943573,0.047627,NaN,NaN,NaN,NaN,0.942547,37240000
France,FRA,250,1860,38.131248,38.083621,0.047627,NaN,NaN,NaN,NaN,1.024596,37300000
France,FRA,250,1861,41.241984,41.194352,0.047632,NaN,NaN,NaN,NaN,1.105354,37390000
France,FRA,250,1862,43.524656,43.477024,0.047632,NaN,NaN,NaN,NaN,1.163456,37520000
France,FRA,250,1863,44.18784,44.136544,0.051296,NaN,NaN,NaN,NaN,1.177967,37710000
France,FRA,250,1864,46.829584,46.774624,0.05496,NaN,NaN,NaN,NaN,1.244992,37860000
France,FRA,250,1865,49.302784,49.24416,0.058624,NaN,NaN,NaN,NaN,1.307174,38020000
France,FRA,250,1866,53.560352,53.498064,0.062288,NaN,NaN,NaN,NaN,1.416189,38080000
France,FRA,250,1867,54.278496,54.212544,0.065952,NaN,NaN,NaN,NaN,1.431269,38230000
France,FRA,250,1868,55.531584,55.465628,0.065956,NaN,NaN,NaN,NaN,1.460325,38330000
France,FRA,250,1869,56.942224,56.876272,0.065952,NaN,NaN,NaN,NaN,1.493778,38890000
France,FRA,250,1870,50.537552,50.4716,0.065952,NaN,NaN,NaN,NaN,1.322922,38440000
France,FRA,250,1871,50.262752,50.1968,0.065952,NaN,NaN,NaN,NaN,1.313289,37731000
France,FRA,250,1872,60.924992,60.855376,0.069616,NaN,NaN,NaN,NaN,1.589385,37679000
France,FRA,250,1873,65.849408,65.776128,0.07328,NaN,NaN,NaN,NaN,1.715657,37887000
France,FRA,250,1874,62.643408,62.566464,0.076944,NaN,NaN,NaN,NaN,1.630042,38044000
France,FRA,250,1875,65.259504,65.167904,0.0916,NaN,NaN,NaN,NaN,1.695947,38221000
France,FRA,250,1876,65.358432,65.25217,0.106262,NaN,NaN,NaN,NaN,1.696348,38398000
France,FRA,250,1877,63.925808,63.804889,0.120919,NaN,NaN,NaN,NaN,1.657046,38576000
France,FRA,250,1878,65.222864,65.068985,0.153879,NaN,NaN,NaN,NaN,1.688508,38763000
France,FRA,250,1879,67.498208,67.315008,0.1832,NaN,NaN,NaN,NaN,1.74487,38909000
France,FRA,250,1880,76.148912,75.932736,0.216176,NaN,NaN,NaN,NaN,1.96528,39045000
France,FRA,250,1881,77.984576,77.739088,0.245488,NaN,NaN,NaN,NaN,2.009011,39191000
France,FRA,250,1882,82.308096,82.033296,0.2748,NaN,NaN,NaN,NaN,2.116176,39337000
France,FRA,250,1883,86.320176,86.0124,0.307776,NaN,NaN,NaN,NaN,2.214524,39472000
France,FRA,250,1884,82.912656,82.560896,0.35176,NaN,NaN,NaN,NaN,2.122499,39629000
France,FRA,250,1885,79.713984,79.208352,0.505632,NaN,NaN,NaN,NaN,2.036198,39733000
France,FRA,250,1886,79.072784,78.534176,0.538608,NaN,NaN,NaN,NaN,2.015447,39858000
France,FRA,250,1887,83.290048,82.736808,0.55324,NaN,NaN,NaN,NaN,2.118343,39889000
France,FRA,250,1888,86.6536,86.08568,0.56792,NaN,NaN,NaN,NaN,2.199118,39920000
France,FRA,250,1889,88.79704,88.214464,0.582576,NaN,NaN,NaN,NaN,2.249089,40004000
France,FRA,250,1890,97.817808,97.220576,0.597232,NaN,NaN,NaN,NaN,2.473202,40014000
France,FRA,250,1891,97.982688,97.3708,0.611888,NaN,NaN,NaN,NaN,2.473498,39983000
France,FRA,250,1892,98.12192,97.491712,0.630208,NaN,NaN,NaN,NaN,2.473634,39993000
France,FRA,250,1893,96.330224,95.68536,0.644864,NaN,NaN,NaN,NaN,2.425638,40014000
France,FRA,250,1894,101.899504,101.239984,0.65952,NaN,NaN,NaN,NaN,2.562888,40056000
France,FRA,250,1895,102.7752,102.068073,0.707127,NaN,NaN,NaN,NaN,2.581903,40098000
France,FRA,250,1896,106.281648,105.545184,0.736464,NaN,NaN,NaN,NaN,2.666883,40192000
France,FRA,250,1897,111.261024,110.447616,0.813408,NaN,NaN,NaN,NaN,2.788578,40348000
France,FRA,250,1898,115.045936,114.155584,0.890352,NaN,NaN,NaN,NaN,2.880084,40473000
