Country,ISO3166_1Alpha_3,UNM49,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,PerCapita,Var13,Var14,Var15,Population,logTotal,linDetrended
Brazil,BRA,76,1856,0.227193,0.227193,NaN,NaN,NaN,NaN,NaN,0.028651,NaN,NaN,NaN,  7929671,-1.48195540246893,-0.202930790403399
Brazil,BRA,76,1857,0.269048,0.269048,NaN,NaN,NaN,NaN,NaN,0.033415,NaN,NaN,NaN,  8051713,-1.31286547663687,-0.0984315308688775
Brazil,BRA,76,1858,0.284547,0.284547,NaN,NaN,NaN,NaN,NaN,0.034804,NaN,NaN,NaN,  8175698,-1.25685683695115,-0.107013557480695
Brazil,BRA,76,1859,0.372714,0.372714,NaN,NaN,NaN,NaN,NaN,0.044898,NaN,NaN,NaN,  8301350,-0.986943909478248,0.0983087036946753
Brazil,BRA,76,1860,0.434898,0.434898,NaN,NaN,NaN,NaN,NaN,0.051595,NaN,NaN,NaN,  8429073,-0.832643758147454,0.188018188727934
Brazil,BRA,76,1861,0.410068,0.410068,NaN,NaN,NaN,NaN,NaN,0.047912,NaN,NaN,NaN,  8558774,-0.891432279377445,0.064639001200408
Brazil,BRA,76,1862,0.355327,0.355327,NaN,NaN,NaN,NaN,NaN,0.040887,NaN,NaN,NaN,  8690464,-1.03471678672307,-0.143236172442758
Brazil,BRA,76,1863,0.425965,0.425965,NaN,NaN,NaN,NaN,NaN,0.048272,NaN,NaN,NaN,  8824267,-0.853398095712467,-0.0265081477296852
Brazil,BRA,76,1864,0.479584,0.479584,NaN,NaN,NaN,NaN,NaN,0.053526,NaN,NaN,NaN,  8959833,-0.734836217519551,0.0274630641656943
Brazil,BRA,76,1865,0.571897,0.571897,NaN,NaN,NaN,NaN,NaN,0.062861,NaN,NaN,NaN,  9097803,-0.558796373746945,0.138912241640765
Brazil,BRA,76,1866,0.646022,0.646022,NaN,NaN,NaN,NaN,NaN,0.069933,NaN,NaN,NaN,  9237728,-0.436921720051864,0.19619622903831
Brazil,BRA,76,1867,0.5547,0.5547,NaN,NaN,NaN,NaN,NaN,0.059137,NaN,NaN,NaN,  9379914,-0.589327851920948,-0.0208005691283093
Brazil,BRA,76,1868,0.752482,0.752482,NaN,NaN,NaN,NaN,NaN,0.079008,NaN,NaN,NaN,  9524124,-0.284378202910981,0.219558413584122
Brazil,BRA,76,1869,0.605044,0.605044,NaN,NaN,NaN,NaN,NaN,0.062521,NaN,NaN,NaN,  9677452,-0.502454096323068,-0.0631081461255003
Brazil,BRA,76,1870,0.698167,0.698167,NaN,NaN,NaN,NaN,NaN,0.070952,NaN,NaN,NaN,  9839990,-0.359296949822354,0.0154583340776777
Brazil,BRA,76,1871,0.844686,0.844686,NaN,NaN,NaN,NaN,NaN,0.084367,NaN,NaN,NaN, 10012043,-0.168790318317608,0.141374299284888
Brazil,BRA,76,1872,0.85838,0.85838,NaN,NaN,NaN,NaN,NaN,0.084206,NaN,NaN,NaN, 10193810,-0.152708387098308,0.0928655642066529
Brazil,BRA,76,1873,1.029011,1.029011,NaN,NaN,NaN,NaN,NaN,0.099079,NaN,NaN,NaN, 10385763,0.0285981467850567,0.209581431792482
Brazil,BRA,76,1874,0.996022,0.996022,NaN,NaN,NaN,NaN,NaN,0.09413,NaN,NaN,NaN, 10581345,-0.00398593328806929,0.136336104884756
Brazil,BRA,76,1875,0.93975,0.93975,NaN,NaN,NaN,NaN,NaN,0.087171,NaN,NaN,NaN, 10780535,-0.0621413965378497,0.0375193948003749
Brazil,BRA,76,1876,0.843065,0.843065,NaN,NaN,NaN,NaN,NaN,0.076757,NaN,NaN,NaN, 10983559,-0.170711218377438,-0.111711673873813
Brazil,BRA,76,1877,0.878429,0.878429,NaN,NaN,NaN,NaN,NaN,0.078498,NaN,NaN,NaN, 11190463,-0.129620194199891,-0.111281896530867
Brazil,BRA,76,1878,0.949458,0.949458,NaN,NaN,NaN,NaN,NaN,0.083278,NaN,NaN,NaN, 11401066,-0.0518639835154071,-0.0741869326809839
Brazil,BRA,76,1879,0.80803,0.80803,NaN,NaN,NaN,NaN,NaN,0.069563,NaN,NaN,NaN, 11615802,-0.213156092437424,-0.276140288437601
Brazil,BRA,76,1880,0.92342,0.92342,NaN,NaN,NaN,NaN,NaN,0.078028,NaN,NaN,NaN, 11834470,-0.0796711100578165,-0.183316552892594
Brazil,BRA,76,1881,1.031042,1.031042,NaN,NaN,NaN,NaN,NaN,0.085511,NaN,NaN,NaN, 12057420,0.0305699413534874,-0.113736748315891
Brazil,BRA,76,1882,0.948135,0.948135,NaN,NaN,NaN,NaN,NaN,0.077181,NaN,NaN,NaN, 12284565,-0.0532583818024627,-0.238226318306441
Brazil,BRA,76,1883,1.170254,1.170254,NaN,NaN,NaN,NaN,NaN,0.093501,NaN,NaN,NaN, 12515952,0.157220819265263,-0.0684083640733163
Brazil,BRA,76,1884,1.282615,1.282615,NaN,NaN,NaN,NaN,NaN,0.100584,NaN,NaN,NaN, 12751680,0.248900962658782,-0.0173894675143973
Brazil,BRA,76,1885,1.215464,1.215464,NaN,NaN,NaN,NaN,NaN,0.093556,NaN,NaN,NaN, 12991834,0.195125896894054,-0.111825780113726
Brazil,BRA,76,1886,1.236031,1.236031,NaN,NaN,NaN,NaN,NaN,0.09338,NaN,NaN,NaN, 13236571,0.211905439627127,-0.135707484215253
Brazil,BRA,76,1887,1.315565,1.315565,NaN,NaN,NaN,NaN,NaN,0.097551,NaN,NaN,NaN, 13485920,0.274266231147925,-0.114007939529055
Brazil,BRA,76,1888,1.283198,1.283198,NaN,NaN,NaN,NaN,NaN,0.093392,NaN,NaN,NaN, 13739913,0.249355399525407,-0.179580017986174
Brazil,BRA,76,1889,1.860401,1.860401,NaN,NaN,NaN,NaN,NaN,0.132758,NaN,NaN,NaN, 14013476,0.620792055886474,0.151195391540292
Brazil,BRA,76,1890,1.713533,1.713533,NaN,NaN,NaN,NaN,NaN,0.119766,NaN,NaN,NaN, 14307341,0.53855732097404,0.0282994097932583
Brazil,BRA,76,1891,2.07202,2.07202,NaN,NaN,NaN,NaN,NaN,0.141704,NaN,NaN,NaN, 14622170,0.728523976860304,0.177604818844922
Brazil,BRA,76,1892,2.145624,2.145624,NaN,NaN,NaN,NaN,NaN,0.143435,NaN,NaN,NaN, 14958859,0.763430419165045,0.171850014315062
Brazil,BRA,76,1893,1.969636,1.969636,NaN,NaN,NaN,NaN,NaN,0.128582,NaN,NaN,NaN, 15318132,0.677848754103923,0.0456071024193399
Brazil,BRA,76,1894,2.308266,2.308266,NaN,NaN,NaN,NaN,NaN,0.147154,NaN,NaN,NaN, 15686057,0.836496593304759,0.163593694785575
Brazil,BRA,76,1895,2.188105,2.188105,NaN,NaN,NaN,NaN,NaN,0.136222,NaN,NaN,NaN, 16062787,0.783035872439377,0.0694717270855926
Brazil,BRA,76,1896,2.615588,2.615588,NaN,NaN,NaN,NaN,NaN,0.159016,NaN,NaN,NaN, 16448584,0.961488928836989,0.207263536648605
Brazil,BRA,76,1897,2.734326,2.734326,NaN,NaN,NaN,NaN,NaN,0.162336,NaN,NaN,NaN, 16843621,1.00588497040328,0.210998331380292
Brazil,BRA,76,1898,2.681303,2.681303,NaN,NaN,NaN,NaN,NaN,0.155454,NaN,NaN,NaN, 17248208,0.986302870398594,0.150754984541009
Brazil,BRA,76,1899,2.612972,2.612972,NaN,NaN,NaN,NaN,NaN,0.148017,NaN,NaN,NaN, 17653188,0.960488270828556,0.0735612340629168
Brazil,BRA,76,1900,2.272218,2.272218,NaN,NaN,NaN,NaN,NaN,0.125825,NaN,NaN,NaN, 18058558,0.820756446960156,-0.117549740713537
Brazil,BRA,76,1901,2.314927,2.314927,0,0,NaN,NaN,NaN,0.125375,NaN,NaN,NaN, 18464024,0.839378153563685,-0.15030718501806
Brazil,BRA,76,1902,2.5545,2.5545,0,0,NaN,NaN,NaN,0.135379,NaN,NaN,NaN, 18869249,0.937856509788716,-0.103207979701083
Brazil,BRA,76,1903,2.442213,2.442213,0,0,NaN,NaN,NaN,0.126709,NaN,NaN,NaN, 19274187,0.892904595471981,-0.199539044925872
Brazil,BRA,76,1904,2.639233,2.639233,0,0,NaN,NaN,NaN,0.134053,NaN,NaN,NaN, 19687982,0.97048834464309,-0.173334446662816
Brazil,BRA,76,1905,2.871745,2.871745,0,0,NaN,NaN,NaN,0.142799,NaN,NaN,NaN, 20110400,1.05491985894323,-0.140282083270732
Brazil,BRA,76,1906,3.248124,3.248124,0,0,NaN,NaN,NaN,0.158121,NaN,NaN,NaN, 20542015,1.1780775989106,-0.068503494211416
Brazil,BRA,76,1907,3.722012,3.722012,0,0,NaN,NaN,NaN,0.177383,NaN,NaN,NaN, 20982913,1.31426438228794,0.0163041382578746
Brazil,BRA,76,1908,3.729627,3.729627,0,0,NaN,NaN,NaN,0.174011,NaN,NaN,NaN, 21433283,1.31630822865539,-0.0330311662827287
Brazil,BRA,76,1909,3.825869,3.825869,0,0,NaN,NaN,NaN,0.174756,NaN,NaN,NaN, 21892633,1.34178563101735,-0.0589329148288267
