Country,ISO3166_1Alpha_3,UNM49,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,PerCapita,Var13,Var14,Var15
"Brazil",BRA,76,1856,0.227193,0.227193,NaN,NaN,NaN,NaN,,0.028651,NaN,NaN,NaN
"Brazil",BRA,76,1857,0.269048,0.269048,NaN,NaN,NaN,NaN,,0.033415,NaN,NaN,NaN
"Brazil",BRA,76,1858,0.284547,0.284547,NaN,NaN,NaN,NaN,,0.034804,NaN,NaN,NaN
"Brazil",BRA,76,1859,0.372714,0.372714,NaN,NaN,NaN,NaN,,0.044898,NaN,NaN,NaN
"Brazil",BRA,76,1860,0.434898,0.434898,NaN,NaN,NaN,NaN,,0.051595,NaN,NaN,NaN
"Brazil",BRA,76,1861,0.410068,0.410068,NaN,NaN,NaN,NaN,,0.047912,NaN,NaN,NaN
"Brazil",BRA,76,1862,0.355327,0.355327,NaN,NaN,NaN,NaN,,0.040887,NaN,NaN,NaN
"Brazil",BRA,76,1863,0.425965,0.425965,NaN,NaN,NaN,NaN,,0.048272,NaN,NaN,NaN
"Brazil",BRA,76,1864,0.479584,0.479584,NaN,NaN,NaN,NaN,,0.053526,NaN,NaN,NaN
"Brazil",BRA,76,1865,0.571897,0.571897,NaN,NaN,NaN,NaN,,0.062861,NaN,NaN,NaN
"Brazil",BRA,76,1866,0.646022,0.646022,NaN,NaN,NaN,NaN,,0.069933,NaN,NaN,NaN
"Brazil",BRA,76,1867,0.5547,0.5547,NaN,NaN,NaN,NaN,,0.059137,NaN,NaN,NaN
"Brazil",BRA,76,1868,0.752482,0.752482,NaN,NaN,NaN,NaN,,0.079008,NaN,NaN,NaN
"Brazil",BRA,76,1869,0.605044,0.605044,NaN,NaN,NaN,NaN,,0.062521,NaN,NaN,NaN
"Brazil",BRA,76,1870,0.698167,0.698167,NaN,NaN,NaN,NaN,,0.070952,NaN,NaN,NaN
"Brazil",BRA,76,1871,0.844686,0.844686,NaN,NaN,NaN,NaN,,0.084367,NaN,NaN,NaN
"Brazil",BRA,76,1872,0.85838,0.85838,NaN,NaN,NaN,NaN,,0.084206,NaN,NaN,NaN
"Brazil",BRA,76,1873,1.029011,1.029011,NaN,NaN,NaN,NaN,,0.099079,NaN,NaN,NaN
"Brazil",BRA,76,1874,0.996022,0.996022,NaN,NaN,NaN,NaN,,0.09413,NaN,NaN,NaN
"Brazil",BRA,76,1875,0.93975,0.93975,NaN,NaN,NaN,NaN,,0.087171,NaN,NaN,NaN
"Brazil",BRA,76,1876,0.843065,0.843065,NaN,NaN,NaN,NaN,,0.076757,NaN,NaN,NaN
"Brazil",BRA,76,1877,0.878429,0.878429,NaN,NaN,NaN,NaN,,0.078498,NaN,NaN,NaN
"Brazil",BRA,76,1878,0.949458,0.949458,NaN,NaN,NaN,NaN,,0.083278,NaN,NaN,NaN
"Brazil",BRA,76,1879,0.80803,0.80803,NaN,NaN,NaN,NaN,,0.069563,NaN,NaN,NaN
"Brazil",BRA,76,1880,0.92342,0.92342,NaN,NaN,NaN,NaN,,0.078028,NaN,NaN,NaN
"Brazil",BRA,76,1881,1.031042,1.031042,NaN,NaN,NaN,NaN,,0.085511,NaN,NaN,NaN
"Brazil",BRA,76,1882,0.948135,0.948135,NaN,NaN,NaN,NaN,,0.077181,NaN,NaN,NaN
"Brazil",BRA,76,1883,1.170254,1.170254,NaN,NaN,NaN,NaN,,0.093501,NaN,NaN,NaN
"Brazil",BRA,76,1884,1.282615,1.282615,NaN,NaN,NaN,NaN,,0.100584,NaN,NaN,NaN
"Brazil",BRA,76,1885,1.215464,1.215464,NaN,NaN,NaN,NaN,,0.093556,NaN,NaN,NaN
"Brazil",BRA,76,1886,1.236031,1.236031,NaN,NaN,NaN,NaN,,0.09338,NaN,NaN,NaN
"Brazil",BRA,76,1887,1.315565,1.315565,NaN,NaN,NaN,NaN,,0.097551,NaN,NaN,NaN
"Brazil",BRA,76,1888,1.283198,1.283198,NaN,NaN,NaN,NaN,,0.093392,NaN,NaN,NaN
"Brazil",BRA,76,1889,1.860401,1.860401,NaN,NaN,NaN,NaN,,0.132758,NaN,NaN,NaN
"Brazil",BRA,76,1890,1.713533,1.713533,NaN,NaN,NaN,NaN,,0.119766,NaN,NaN,NaN
"Brazil",BRA,76,1891,2.07202,2.07202,NaN,NaN,NaN,NaN,,0.141704,NaN,NaN,NaN
"Brazil",BRA,76,1892,2.145624,2.145624,NaN,NaN,NaN,NaN,,0.143435,NaN,NaN,NaN
"Brazil",BRA,76,1893,1.969636,1.969636,NaN,NaN,NaN,NaN,,0.128582,NaN,NaN,NaN
"Brazil",BRA,76,1894,2.308266,2.308266,NaN,NaN,NaN,NaN,,0.147154,NaN,NaN,NaN
"Brazil",BRA,76,1895,2.188105,2.188105,NaN,NaN,NaN,NaN,,0.136222,NaN,NaN,NaN
"Brazil",BRA,76,1896,2.615588,2.615588,NaN,NaN,NaN,NaN,,0.159016,NaN,NaN,NaN
"Brazil",BRA,76,1897,2.734326,2.734326,NaN,NaN,NaN,NaN,,0.162336,NaN,NaN,NaN
"Brazil",BRA,76,1898,2.681303,2.681303,NaN,NaN,NaN,NaN,,0.155454,NaN,NaN,NaN
"Brazil",BRA,76,1899,2.612972,2.612972,NaN,NaN,NaN,NaN,,0.148017,NaN,NaN,NaN
"Brazil",BRA,76,1900,2.272218,2.272218,NaN,NaN,NaN,NaN,,0.125825,NaN,NaN,NaN
"Brazil",BRA,76,1901,2.314927,2.314927,0,0,NaN,NaN,,0.125375,NaN,NaN,NaN
"Brazil",BRA,76,1902,2.5545,2.5545,0,0,NaN,NaN,,0.135379,NaN,NaN,NaN
"Brazil",BRA,76,1903,2.442213,2.442213,0,0,NaN,NaN,,0.126709,NaN,NaN,NaN
"Brazil",BRA,76,1904,2.639233,2.639233,0,0,NaN,NaN,,0.134053,NaN,NaN,NaN
"Brazil",BRA,76,1905,2.871745,2.871745,0,0,NaN,NaN,,0.142799,NaN,NaN,NaN
"Brazil",BRA,76,1906,3.248124,3.248124,0,0,NaN,NaN,,0.158121,NaN,NaN,NaN
"Brazil",BRA,76,1907,3.722012,3.722012,0,0,NaN,NaN,,0.177383,NaN,NaN,NaN
"Brazil",BRA,76,1908,3.729627,3.729627,0,0,NaN,NaN,,0.174011,NaN,NaN,NaN
"Brazil",BRA,76,1909,3.825869,3.825869,0,0,NaN,NaN,,0.174756,NaN,NaN,NaN
"Brazil",BRA,76,1910,4.58479,4.58479,0,0,NaN,NaN,,0.205033,NaN,NaN,NaN
"Brazil",BRA,76,1911,5.383972,5.383972,0,0,NaN,NaN,,0.235735,NaN,NaN,NaN
"Brazil",BRA,76,1912,5.477784,5.477784,0,0,NaN,NaN,,0.234831,NaN,NaN,NaN
"Brazil",BRA,76,1913,6.107222,6.107222,0,0,NaN,NaN,,0.256351,NaN,NaN,NaN
